component,Sortfield,count,repaircost
EXHAUST,LV121,70,123456.79
EXHAUST,LV092,71,852647.83
EXHAUST,LV102,60,316285.49
EXHAUST,LV103,45,128691.11
EXHAUST,LV104,75,771852.53
EXHAUST,LV105,68,369258.99
EXHAUST,LV106,65,813264.19
EXHAUST,LV107,54,134567.26
EXHAUST,LV108,85,143765.3
EXHAUST,LV109,79,913215.97
EXHAUST,LV110,60,222134.07
EXHAUST,LV111,93,258528.86
EXHAUST,LV112,120,369963.27
EXHAUST,LV113,91,134256.95
EXHAUST,LV114,122,1102131.12
EXHAUST,LV115,121,195735.12
EXHAUST,LV116,96,1502601.48
EXHAUST,LV117,128,2045922.53
EXHAUST,LV118,97,1928717.01
EXHAUST,LV123,24,289660.6
EXHAUST,LV124,16,98863.53
EXHAUST,LV701,49,1662608.63
EXHAUST,LV702,43,683868.01
EXHAUST,LV703,54,1050538.56
EXHAUST,LV704,45,618817.87
EXHAUST,LV705,38,364501.29
EXHAUST,LV706,32,314009.67
EXHAUST,LV707,39,463571.25
EXHAUST,LV708,38,739962.44
EXHAUST,HV151,82,511522.9
EXHAUST,HV111,79,574891.33
EXHAUST,HV153,82,661327.57
EXHAUST,HV154,63,311741.92
EXHAUST,HV155,63,549951.37
EXHAUST,HV156,72,339123.01
EXHAUST,HV157,61,501969.93
EXHAUST,HV158,51,376154.72
EXHAUST,HV159,39,411034.31
EXHAUST,HV160,53,357197.7
COMPRESSOR,LV121,53,32667.73
COMPRESSOR,LV092,48,27762.29
COMPRESSOR,LV102,66,24500.74
COMPRESSOR,LV103,33,21711.63
COMPRESSOR,LV104,52,40000.39
COMPRESSOR,LV105,50,47789.02
COMPRESSOR,LV106,50,30864.86
COMPRESSOR,LV107,36,19909.78
COMPRESSOR,LV108,54,42996.56
COMPRESSOR,LV109,63,30908
COMPRESSOR,LV110,38,21194.78
COMPRESSOR,LV111,42,25358.33
COMPRESSOR,LV112,54,29227.99
COMPRESSOR,LV113,36,20519.28
COMPRESSOR,LV114,38,26087.6
COMPRESSOR,LV115,29,11403.53
